,Title,Published,Channel,Views,Likes,Comments,Shares,Description,Tags,Captions,Duration,Default Language
43,White House redefines wanting Iran's ‘unconditional surrender’,2026-03-10T19:50:41Z,USA TODAY,598,19,7,,"The White House clarified what President Donald Trump means when he says he wants Iran's ""unconditional surrender.""

READ: https://www.usatoday.com/live-story/news/world/2026/03/10/iran-united-states-trump-war-live-updates/89072989007/",No Tags,false,PT51S,en
44,Trump appoints Erika Kirk to US Air Force Academy board,2026-03-10T19:06:06Z,USA TODAY,774,10,38,,"President Trump appointed Erika Kirk, widow of conservative activist Charlie Kirk, to the United States Air Force Academy Board of Visitors.

Read more: https://www.usatoday.com/story/news/politics/2026/03/10/trump-appoints-erika-kirk-air-force-academy-board-charlie/89081470007/","['Charlie Kirk Air Force Academy recommendations', 'Charlie Kirk served on the board', 'Erika Kirk U.S. Air Force Academy Board of Visitors', 'Erika Kirk widow conservative activist Charlie Kirk', 'President Donald Trump appointed Erika Kirk', 'Secretary of Defense President Trump', 'United States Air Force Academy Board of Visitors Erika Kirk']",false,PT29S,en
45,Donald Trump: Cuba may or may not be 'friendly takeover',2026-03-10T15:57:56Z,USA TODAY,2294,35,22,,"President Donald Trump said the U.S. may or may not do a ""friendly takeover"" of Cuba, adding that they have no energy or money.",No Tags,false,PT1M15S,en
46,"US-made Tomahawk missile appears linked to deadly Iran school blast, NYT finds",2026-03-10T15:19:11Z,USA TODAY,9916,69,100,,"A US-made Tomahawk missile appears tied to an Iran strike near a school that killed 175, a New York Times investigation found, as President Donald Trump and Pentagon leaders deflect responsibility.",No Tags,false,PT1M30S,en
47,Trump says fallen US soldiers families told him to 'finish the job',2026-03-10T00:07:50Z,USA TODAY,29342,317,114,,"President Donald Trump said the families of U.S. service members killed in the Iran war urged him to “finish the job.”

READ: https://www.usatoday.com/live-story/news/world/2026/03/09/iran-united-states-war-live-updates/89055802007/",No Tags,false,PT31S,en
48,Trump describes ‘very good call’ with Vladimir Putin,2026-03-09T23:04:12Z,USA TODAY,6294,67,36,,"President Donald Trump said he spoke about Ukraine and the Middle East on a ""very good call"" with Russia's Vladimir Putin.

READ: https://www.usatoday.com/live-story/news/world/2026/03/09/iran-united-states-war-live-updates/89055802007/",No Tags,false,PT41S,en
49,President Trump vows he won't allow Iran to stop world's oil supply,2026-03-09T23:03:37Z,USA TODAY,1874,17,3,,"President Trump said he won’t allow "" a terrorist regime” to stop the world’s oil supply amid the war with Iran.

READ: https://www.usatoday.com/live-story/news/world/2026/03/09/iran-united-states-war-live-updates/89055802007/",No Tags,false,PT1M9S,en
50,Trump on Iran school bombing: 'I don't know enough about it',2026-03-09T22:48:03Z,USA TODAY,2755,29,46,,"Despite initially blaming Iran for the girls' school bombing over the weekend, President Donald Trump said Monday the cause is under investigation.

Read more: https://www.usatoday.com/live-story/news/world/2026/03/09/iran-united-states-war-live-updates/89055802007/

Sign up for our newsletter for the day's top stories, from sports to movies to politics to world events: https://profile.usatoday.com/newsletters/daily-briefing/","['usa today', 'usa today news']",false,PT1M11S,en-US
51,Full Trump press conference reaction to Mojtaba Khamenei as new supreme leader and Iran war updates,2026-03-09T22:47:15Z,USA TODAY,15842,217,126,,"President Donald Trump held a press conference in the Doral Ballroom in Florida on March 9. The president spoke about the Iran war and Mojtaba Khamenei's selection as Iran's new supreme leader, replacing his father Ali Khamenei.

🎥: REUTERS

Sign up for our newsletter for the day's top stories, from sports to movies to politics to world events: https://profile.usatoday.com/newsletters/daily-briefing/","['usa today', 'usa today news']",false,PT33M55S,en-US
52,President Trump says Iran war is 'beginning of building a new country',2026-03-09T22:46:50Z,USA TODAY,1297,9,20,,"President Donald Trump said the United States is going to go further in its conflict in Iran but that the big risks from the war are over.

READ: https://www.usatoday.com/live-story/news/world/2026/03/09/iran-united-states-war-live-updates/89055802007/","['usa today', 'usa today news']",false,PT1M37S,en-US
53,Live: President Trump gives latest updates in Iran war,2026-03-09T22:35:35Z,USA TODAY,5027,45,28,,"President Donald Trump holds a news conference in the Doral Ballroom in Florida.

🎥: REUTERS

Sign up for our newsletter for the day's top stories, from sports to movies to politics to world events: https://profile.usatoday.com/newsletters/daily-briefing/","['usa today', 'usa today news']",false,PT39M10S,en-US
54,President Trump full remarks at GOP fundraiser amid Iran war,2026-03-09T22:02:35Z,USA TODAY,13762,338,81,,"Donald Trump spoke to Republican members of Congress at a fundraising event in Florida.

READ: https://www.usatoday.com/live-story/news/world/2026/03/09/iran-united-states-war-live-updates/89055802007/

Sign up for our newsletter for the day's top stories, from sports to movies to politics to world events: https://profile.usatoday.com/newsletters/daily-briefing/","['usa today', 'usa today news']",false,PT51M6S,en-US
55,President Trump refers to war with Iran as a ‘little excursion’,2026-03-09T21:58:24Z,USA TODAY,20353,162,105,,"In an apparent reference to the conflict with Iran, President Donald Trump told GOP lawmakers and donors, ""We took a little excursion because we felt we had to do that to get rid of some evil.""

READ: https://www.usatoday.com/live-story/news/world/2026/03/09/iran-united-states-war-live-updates/89055802007/",No Tags,false,PT27S,en
56,"Live: Donald Trump to address Republicans at GOP fundraiser in Doral, Florida",2026-03-09T21:56:41Z,USA TODAY,6385,70,25,,"President Donald Trump will speak to Republican members of Congress at a Doral fundraising event ahead his return to Washington, DC. 

🎥: POOL

Sign up for our newsletter for the day's top stories, from sports to movies to politics to world events: https://profile.usatoday.com/newsletters/daily-briefing/","['usa today', 'usa today news']",false,PT1H33M51S,en-US
57,Trump blames Iran for bombed girls' school. See what he said.,2026-03-08T14:32:36Z,USA TODAY,32473,320,327,,"Although a U.S. investigation is underway, President Trump is blaming Iran for the Feb. 28 bombing of an Iranian school that killed 175 people.

Sign up for our newsletter for the day's top stories, from sports to movies to politics to world events: https://profile.usatoday.com/newsletters/daily-briefing/

#Trump #Iran #Bombing","['usa today', 'usa today news', 'iran school', 'iran school bombing', 'iran bombing', 'trump', 'donald trump', 'trump iran bombing']",false,PT32S,en-US
58,President Trump attends dignified transfer of Americans killed in Iran war,2026-03-07T22:37:33Z,USA TODAY,2799,77,88,,"President Trump joins top officials at Dover Air Force Base for a dignified transfer of six US troops killed in an Iranian drone attack.

Read more: https://www.usatoday.com/story/news/politics/2026/03/07/trump-iran-troops-killed/89006091007/

Sign up for our newsletter for the day's top stories, from sports to movies to politics to world events: https://profile.usatoday.com/newsletters/daily-briefing/","['usa today', 'usa today news']",false,PT26M25S,en-US
