,id,username,description,followers,following,tweet_count,listed_count,verified,created_at,Tweet_ID,PoI,Created_at,Text,Retweets,Replies_Count,Likes_Count,Quotes
27,,,,,,,,,,2.0314331092588134e+18,Donald Trump,2026-03-10 18:12:50+00:00,"@LindseyGrahamSC Putin owns Netanyahu and your idol Donald Trump and we think Putin is orcastrating this war and using them to carry it out to disorient the world economy, and being the stooges they are, fell for it.",0.0,0.0,0.0,0.0
28,,,,,,,,,,2.0314331087723195e+18,Donald Trump,2026-03-10 18:12:49+00:00,"RT @ImperiumFirst: Nick Fuentes says Trump and Israel are responsible for any muslim terror attack

""If a single person is k*lled in a terr…",374.0,0.0,0.0,0.0
29,,,,,,,,,,2.0314331087096302e+18,Donald Trump,2026-03-10 18:12:49+00:00,"RT @Damaan4u33: If you support Congressman Ted Lieu's bravery for coming out and directly saying that Donald Trump raped children, repost a…",1624.0,0.0,0.0,0.0
30,,,,,,,,,,2.0314331085963308e+18,Donald Trump,2026-03-10 18:12:49+00:00,@donwinslow @JohnnyBeagles Does Donald Trump not understand that “beginning” and “ending” are antonyms and cannot mean the same thing?,0.0,0.0,0.0,0.0
31,,,,,,,,,,2.031433106310484e+18,Donald Trump,2026-03-10 18:12:49+00:00,"RT @Q17patriots: God said he would never flood the earth again, so he sent Donald J. Trump for this season in time. Keeping his covenant wi…",14.0,0.0,0.0,0.0
32,,,,,,,,,,2.0314331062682545e+18,Donald Trump,2026-03-10 18:12:49+00:00,"RT @WSJ: Exclusive: Eric Trump and Donald Trump Jr. are backing Powerus, a drone company vying to meet Pentagon demand and fill a hole left…",768.0,0.0,0.0,0.0
33,,,,,,,,,,2.0314331055261084e+18,Donald Trump,2026-03-10 18:12:49+00:00,RT @sardesairajdeep: Exclusive: Is it wise for India get into a war of words with Donald Trump? Former NSA Shiv Shankar Menon responds stro…,6.0,0.0,0.0,0.0
34,,,,,,,,,,2.031433104595026e+18,Donald Trump,2026-03-10 18:12:48+00:00,"RT @ausvstheagenda: Greens Senator Nick McKim just lost his shit, calling President Donald Trump a “fascist war criminal” and saying Anthon…",2109.0,0.0,0.0,0.0
35,,,,,,,,,,2.0314331017090463e+18,Donald Trump,2026-03-10 18:12:48+00:00,"RT @TheTruthWalkerQ: 🚨MAJOR ALERT:

The U.S. DOJ has reportedly released a second batch of #EpsteinFiles.

New emails allegedly claim that…",89.0,0.0,0.0,0.0
36,,,,,,,,,,2.0314331013821852e+18,Donald Trump,2026-03-10 18:12:48+00:00,"RT @JudiciaryDems: A Trump nominee agreed that you could “abort every black baby in this country, and your crime rate would go down.”

This…",2200.0,0.0,0.0,0.0
37,,,,,,,,,,2.0314331007611087e+18,Donald Trump,2026-03-10 18:12:48+00:00,RT @EdKrassen: Watch as Fox News calls Donald Trump out for lying about the tomahawk missile strike on the girls’ school in Iran. https://t…,759.0,0.0,0.0,0.0
38,,,,,,,,,,2.0314331001530122e+18,Donald Trump,2026-03-10 18:12:47+00:00,RT @SkyRaged: @elonmusk @NoMan17863587 @LeaderJohnThune I am not a paid influencer @LeaderJohnThune. Pass The America Save act. Stop lying…,2.0,0.0,0.0,0.0
39,,,,,,,,,,2.031433099985433e+18,Donald Trump,2026-03-10 18:12:47+00:00,"RT @Furbeti: Another statue of Donald Trump and Jeffrey Epstein has appeared on the National Mall, this one styled after Jack and Rose from…",436.0,0.0,0.0,0.0
40,,,,,,,,,,2.0314331193967168e+18,Xi Jinping,2026-03-10 18:12:52+00:00,"RT @worqas: Insane disclosure!
It is obvious from these emails that Epstein HATED Imran Khan, the week Khan is elected the PM in Pakistan,…",3902.0,0.0,0.0,0.0
41,,,,,,,,,,2.0314331190315013e+18,Xi Jinping,2026-03-10 18:12:52+00:00,"RT @FabrizioRomano: 🚨 Eric Garcia, set to be out of Barcelona XI vs Newcastle due to discomfort. ⚠️ https://t.co/Rwcd1gyjNZ",210.0,0.0,0.0,0.0
42,,,,,,,,,,2.0314331160032177e+18,Xi Jinping,2026-03-10 18:12:51+00:00,"@debbie_xi Cold Storage (2026): Night-shift workers unleash a deadly mutating fungus, creating slime-zombies, while Liam Neeson’s retired expert races to stop it from destroying humanity.",0.0,0.0,0.0,0.0
43,,,,,,,,,,2.031433113990275e+18,Xi Jinping,2026-03-10 18:12:51+00:00,"RT @Rajiv1841: If I had to choose a combined Australia/India/South Africa XI from their best eras, it would be:

Sachin Tendulkar 
Rohit Sh…",14.0,0.0,0.0,0.0
44,,,,,,,,,,2.0314331106178376e+18,Xi Jinping,2026-03-10 18:12:50+00:00,"🚨 Eric Garcia, set to be out of Barcelona XI vs Newcastle due to discomfort. ⚠️

. https://t.co/ZEPhH5glbW",0.0,0.0,1.0,0.0
45,,,,,,,,,,2.0314331096658867e+18,Xi Jinping,2026-03-10 18:12:50+00:00,"RT @Gatman180: 🚨 Eric Garcia, set to be out of Barcelona XI vs Newcastle due to discomfort. 📷

(@FabrizioRomano) https://t.co/gYEc21HiPT",1.0,0.0,0.0,0.0
46,,,,,,,,,,2.031433108491555e+18,Xi Jinping,2026-03-10 18:12:49+00:00,"RT @worqas: Insane disclosure!
It is obvious from these emails that Epstein HATED Imran Khan, the week Khan is elected the PM in Pakistan,…",3902.0,0.0,0.0,0.0
47,,,,,,,,,,2.0314331065409618e+18,Xi Jinping,2026-03-10 18:12:49+00:00,RT @jensdad4biden: @CanMoveNow @RONewCouncilEnt @BallingerTM @DeniseBossert3 @Bupattaya171832 @JWheeler58750 @DemDeanna @Winestorer1400 @DE…,1.0,0.0,0.0,0.0
48,,,,,,,,,,2.0314331012312105e+18,Xi Jinping,2026-03-10 18:12:48+00:00,"RT @Yunnnaw0506: I don't know why it came so late, even after a public event. 
Please pay more attention to the psychological state of the…",4.0,0.0,0.0,0.0
49,,,,,,,,,,2.0314330897595643e+18,Xi Jinping,2026-03-10 18:12:45+00:00,RT @CanMoveNow: @jensdad4biden @RONewCouncilEnt @BallingerTM @DeniseBossert3 @Bupattaya171832 @JWheeler58750 @DemDeanna @Winestorer1400 @DE…,2.0,0.0,0.0,0.0
50,,,,,,,,,,2.031433080133583e+18,Xi Jinping,2026-03-10 18:12:43+00:00,"🚨Eric Garcia, set to be out of Barcelona XI vs Newcastle due to discomfort. ⚠️ https://t.co/1d96Z2vj1F",0.0,0.0,0.0,0.0
